id,description,units,notes,created_at,updated_at,name,max,min,standard_name,standard_units,label,type
45,Sets a plant's supply of water,m2 kg-1 s-1,"",,2021-04-27 19:26:43.765793,water_conductance,Infinity,-Infinity,,,,
342,soil organic matter,percent,"",2012-01-06 21:57:33,2012-01-06 21:57:33,soilOrganic,100,0,,,,
343,age of the stand: days since planting or disturbance,days,"",2012-01-06 21:59:27,2015-05-08 16:51:57.614715,age,50000,0,"","","",
346,rooting volume,m3,"",2012-01-06 22:16:19,2012-01-06 22:16:19,root_volume,Infinity,-Infinity,,,,
336,fraction of total plant dry weight in roots,fraction,"Necessary covariates:
root_diameter_min & root_diameter_ max",2012-01-06 21:04:45,2012-01-06 21:04:45,root_biomass_fraction,Infinity,0,,,,
337,"root repiration of growing tissue, mass basis, at given temperature",umol kg-1 s-1,"Necessary covariates:
rootT root_diameter_min & root_diameter_ max",2012-01-06 21:05:19,2012-01-06 21:07:00,root_growth_respiration_rate,Infinity,0,,,,
232,annual pulpwood,m3 ha-1,"",2010-11-23 11:31:33,2021-04-27 19:32:46.723275,Apulpwood,Infinity,-Infinity,,,,
18,Leaf Area Index,m2 m-2,One sided (m2 leaf m-2 ground),,2017-10-19 01:16:42.229609,LAI,Infinity,0,,,,
624,Fine root production percentage,percent,dvmdostem parameter controlling the percentage of fine root production at 20 cm depth,2017-10-09 22:10:13.421282,2017-10-09 22:10:13.421282,frprod_perc_20,Infinity,-Infinity,"","",frprod_perc_20,plant trait
46,see two-stream radiation model,degrees,For ED2: leaf_scatter_vis = leaf_reflect_vis(ipft) + leaf_trans_vis(ipft),,2013-09-22 15:40:41,leaf_scatter_vis,Infinity,-Infinity,,,,
47,see two-stream radiation model,degrees,"For ED2: leaf_backscatter_vis(ipft) = leaf_scatter_vis(ipft)+0.25*(leaf_reflect_vis(ipft) - leaf_trans_vis(ipft))* ( 1.d0 + orient_factor(ipft)) ** 2 ) / ( 2.d0 * leaf_scatter_vis(ipft) )

Inside ED2 known as leaf_backscatter_vis",,2013-09-22 15:42:52,diffuse_backscatter_vis,Infinity,-Infinity,,,,
